#SpeciesA	SpeciesB	interaction
Pl_1	An_1	1
Pl_2	An_1	1
Pl_3	An_1	1
Pl_4	An_1	1
Pl_6	An_1	1
Pl_7	An_1	1
Pl_9	An_1	1
Pl_10	An_1	1
Pl_11	An_1	1
Pl_12	An_1	1
Pl_13	An_1	1
Pl_15	An_1	1
Pl_16	An_1	1
Pl_17	An_1	1
Pl_19	An_1	1
Pl_21	An_1	1
Pl_22	An_1	1
Pl_24	An_1	1
Pl_25	An_1	1
Pl_26	An_1	1
Pl_27	An_1	1
Pl_28	An_1	1
Pl_29	An_1	1
Pl_30	An_1	1
Pl_32	An_1	1
Pl_33	An_1	1
Pl_34	An_1	1
Pl_36	An_1	1
Pl_37	An_1	1
Pl_38	An_1	1
Pl_40	An_1	1
Pl_43	An_1	1
Pl_44	An_1	1
Pl_45	An_1	1
Pl_1	An_2	1
Pl_3	An_2	1
Pl_5	An_2	1
Pl_6	An_2	1
Pl_7	An_2	1
Pl_8	An_2	1
Pl_9	An_2	1
Pl_12	An_2	1
Pl_17	An_2	1
Pl_18	An_2	1
Pl_19	An_2	1
Pl_20	An_2	1
Pl_21	An_2	1
Pl_22	An_2	1
Pl_23	An_2	1
Pl_26	An_2	1
Pl_28	An_2	1
Pl_33	An_2	1
Pl_34	An_2	1
Pl_39	An_2	1
Pl_43	An_2	1
Pl_44	An_2	1
Pl_46	An_2	1
Pl_1	An_3	1
Pl_3	An_3	1
Pl_5	An_3	1
Pl_7	An_3	1
Pl_8	An_3	1
Pl_14	An_3	1
Pl_20	An_3	1
Pl_21	An_3	1
Pl_22	An_3	1
Pl_23	An_3	1
Pl_26	An_3	1
Pl_28	An_3	1
Pl_30	An_3	1
Pl_31	An_3	1
Pl_32	An_3	1
Pl_33	An_3	1
Pl_37	An_3	1
Pl_40	An_3	1
Pl_41	An_3	1
Pl_43	An_3	1
Pl_46	An_3	1
Pl_1	An_4	1
Pl_3	An_4	1
Pl_4	An_4	1
Pl_5	An_4	1
Pl_8	An_4	1
Pl_11	An_4	1
Pl_12	An_4	1
Pl_16	An_4	1
Pl_19	An_4	1
Pl_20	An_4	1
Pl_23	An_4	1
Pl_27	An_4	1
Pl_29	An_4	1
Pl_31	An_4	1
Pl_34	An_4	1
Pl_35	An_4	1
Pl_36	An_4	1
Pl_37	An_4	1
Pl_45	An_4	1
Pl_47	An_4	1
An_2	An_5	-0.909739851020277
Pl_2	An_5	1
Pl_3	An_5	1
Pl_4	An_5	1
Pl_5	An_5	1
Pl_7	An_5	1
Pl_9	An_5	1
Pl_11	An_5	1
Pl_13	An_5	1
Pl_15	An_5	1
Pl_19	An_5	1
Pl_20	An_5	1
Pl_21	An_5	1
Pl_24	An_5	1
