#SpeciesA	SpeciesB	interaction
Pl_1	An_1	1
Pl_4	An_1	1
Pl_9	An_1	1
Pl_14	An_1	1
Pl_16	An_1	1
Pl_17	An_1	1
Pl_20	An_1	1
Pl_25	An_1	1
Pl_27	An_1	1
Pl_28	An_1	1
Pl_38	An_1	1
Pl_41	An_1	1
Pl_2	An_2	1
Pl_4	An_2	1
Pl_6	An_2	1
Pl_12	An_2	1
Pl_13	An_2	1
Pl_20	An_2	1
Pl_22	An_2	1
Pl_23	An_2	1
Pl_32	An_2	1
Pl_6	An_3	1
Pl_7	An_3	1
Pl_11	An_3	1
Pl_12	An_3	1
Pl_15	An_3	1
Pl_21	An_3	1
Pl_28	An_3	1
Pl_40	An_3	1
Pl_47	An_3	1
Pl_5	An_4	1
Pl_9	An_4	1
Pl_10	An_4	1
Pl_15	An_4	1
Pl_16	An_4	1
Pl_17	An_4	1
Pl_22	An_4	1
Pl_32	An_4	1
Pl_2	An_5	1
Pl_3	An_5	1
Pl_4	An_5	1
Pl_8	An_5	1
Pl_11	An_5	1
Pl_14	An_5	1
Pl_18	An_5	1
Pl_29	An_5	1
Pl_4	An_6	1
Pl_7	An_6	1
Pl_9	An_6	1
Pl_13	An_6	1
Pl_15	An_6	1
Pl_16	An_6	1
Pl_27	An_6	1
Pl_1	An_7	1
Pl_2	An_7	1
Pl_11	An_7	1
Pl_27	An_7	1
Pl_30	An_7	1
Pl_33	An_7	1
Pl_1	An_8	1
Pl_10	An_8	1
Pl_21	An_8	1
Pl_22	An_8	1
Pl_23	An_8	1
Pl_38	An_8	1
An_5	An_9	-0.929188468260691
Pl_1	An_9	1
Pl_2	An_9	1
Pl_3	An_9	1
Pl_5	An_9	1
Pl_10	An_9	1
Pl_25	An_9	1
An_5	An_10	-0.863968775141984
Pl_3	An_10	1
Pl_6	An_10	1
Pl_9	An_10	1
Pl_23	An_10	1
Pl_26	An_10	1
Pl_33	An_10	1
An_2	An_11	-0.983264171984047
Pl_1	An_11	1
Pl_12	An_11	1
Pl_19	An_11	1
Pl_21	An_11	1
Pl_24	An_11	1
An_1	An_12	-0.937715917825699
An_4	An_12	-0.993831974454224
Pl_4	An_12	1
Pl_6	An_12	1
Pl_7	An_12	1
Pl_31	An_12	1
Pl_35	An_12	1
An_8	An_13	-0.91964506986551
An_9	An_13	-0.887157881166786
Pl_9	An_13	1
Pl_13	An_13	1
Pl_14	An_13	1
Pl_37	An_13	1
Pl_46	An_13	1
An_1	An_14	-0.852119010640308
An_6	An_14	-0.862999512115493
An_13	An_14	-0.920822884654626
Pl_1	An_14	1
Pl_3	An_14	1
Pl_12	An_14	1
Pl_34	An_14	1
Pl_43	An_14	1
An_2	An_15	-0.857695971382782
An_3	An_15	-0.856376870768145
Pl_2	An_15	1
Pl_5	An_15	1
Pl_14	An_15	1
Pl_19	An_15	1
Pl_24	An_15	1
An_1	An_16	-0.956139363115653
An_6	An_16	-0.897401343099773
An_9	An_16	-0.943302180152386
An_12	An_16	-0.894446911523119
Pl_3	An_16	1
Pl_8	An_16	1
Pl_11	An_16	1
Pl_34	An_16	1
An_1	An_17	-0.890313301235437
An_8	An_17	-0.941295775584877
An_16	An_17	-0.907445415854454
Pl_8	An_17	1
Pl_10	An_17	1
Pl_28	An_17	1
Pl_44	An_17	1
An_8	An_18	-0.951466775266454
Pl_2	An_18	1
Pl_3	An_18	1
Pl_4	An_18	1
Pl_37	An_18	1
