#SpeciesA	SpeciesB	interaction
Pl_1	An_1	1
Pl_4	An_1	1
Pl_9	An_1	1
Pl_14	An_1	1
Pl_16	An_1	1
Pl_17	An_1	1
Pl_20	An_1	1
Pl_25	An_1	1
Pl_27	An_1	1
Pl_28	An_1	1
Pl_38	An_1	1
Pl_41	An_1	1
Pl_2	An_2	1
Pl_4	An_2	1
Pl_6	An_2	1
Pl_12	An_2	1
Pl_13	An_2	1
Pl_20	An_2	1
Pl_22	An_2	1
Pl_23	An_2	1
Pl_32	An_2	1
An_1	An_3	-0.982265182072297
An_2	An_3	-0.556923057185486
Pl_6	An_3	1
Pl_7	An_3	1
Pl_11	An_3	1
Pl_12	An_3	1
Pl_15	An_3	1
Pl_21	An_3	1
Pl_28	An_3	1
Pl_40	An_3	1
Pl_47	An_3	1
An_1	An_4	-0.72994554694742
Pl_5	An_4	1
Pl_9	An_4	1
Pl_10	An_4	1
Pl_15	An_4	1
Pl_16	An_4	1
Pl_17	An_4	1
Pl_22	An_4	1
Pl_32	An_4	1
An_2	An_5	-0.575128190917894
An_3	An_5	-0.997067266143858
Pl_2	An_5	1
Pl_3	An_5	1
Pl_4	An_5	1
Pl_8	An_5	1
Pl_11	An_5	1
Pl_14	An_5	1
Pl_18	An_5	1
Pl_29	An_5	1
An_1	An_6	-0.604363550664857
An_3	An_6	-0.681767139350995
An_4	An_6	-0.792923992499709
An_5	An_6	-0.776461444795132
Pl_4	An_6	1
Pl_7	An_6	1
Pl_9	An_6	1
Pl_13	An_6	1
Pl_15	An_6	1
Pl_16	An_6	1
Pl_27	An_6	1
An_1	An_7	-0.584309071535245
An_3	An_7	-0.789469787618145
An_4	An_7	-0.783633707091212
An_6	An_7	-0.557179143885151
Pl_1	An_7	1
Pl_2	An_7	1
Pl_11	An_7	1
Pl_27	An_7	1
Pl_30	An_7	1
Pl_33	An_7	1
An_1	An_8	-0.536072647431865
An_2	An_8	-0.693751776125282
An_4	An_8	-0.742995199514553
An_5	An_8	-0.915812823455781
An_6	An_8	-0.964216601569206
Pl_1	An_8	1
Pl_10	An_8	1
Pl_21	An_8	1
Pl_22	An_8	1
Pl_23	An_8	1
Pl_38	An_8	1
An_4	An_9	-0.733372168149799
An_6	An_9	-0.508016436127946
Pl_1	An_9	1
Pl_2	An_9	1
Pl_3	An_9	1
Pl_5	An_9	1
Pl_10	An_9	1
Pl_25	An_9	1
An_3	An_10	-0.571168310940266
An_4	An_10	-0.572918256279081
An_5	An_10	-0.590726371854544
An_7	An_10	-0.972057787235826
Pl_3	An_10	1
Pl_6	An_10	1
Pl_9	An_10	1
Pl_23	An_10	1
Pl_26	An_10	1
Pl_33	An_10	1
An_3	An_11	-0.561526869656518
An_4	An_11	-0.939877279568464
An_5	An_11	-0.66620274586603
An_8	An_11	-0.503959835274145
Pl_1	An_11	1
Pl_12	An_11	1
Pl_19	An_11	1
Pl_21	An_11	1
Pl_24	An_11	1
An_9	An_12	-0.667038657469675
An_10	An_12	-0.933686898788437
Pl_4	An_12	1
Pl_6	An_12	1
Pl_7	An_12	1
Pl_31	An_12	1
Pl_35	An_12	1
An_1	An_13	-0.711259436560795
An_2	An_13	-0.51993380044587
An_3	An_13	-0.814317478332669
An_6	An_13	-0.630237913457677
An_7	An_13	-0.718175056157634
Pl_9	An_13	1
Pl_13	An_13	1
Pl_14	An_13	1
Pl_37	An_13	1
Pl_46	An_13	1
An_2	An_14	-0.769852252444252
