#SpeciesA	SpeciesB	interaction
Pl_2	An_1	1
Pl_10	An_1	1
Pl_12	An_1	1
Pl_15	An_1	1
Pl_16	An_1	1
Pl_31	An_1	1
Pl_33	An_1	1
Pl_45	An_1	1
Pl_46	An_1	1
Pl_2	An_2	1
Pl_7	An_2	1
Pl_14	An_2	1
Pl_22	An_2	1
Pl_33	An_2	1
Pl_35	An_2	1
Pl_36	An_2	1
Pl_40	An_2	1
Pl_2	An_3	1
Pl_3	An_3	1
Pl_4	An_3	1
Pl_8	An_3	1
Pl_11	An_3	1
Pl_13	An_3	1
Pl_19	An_3	1
Pl_32	An_3	1
An_2	An_4	-0.662738396553323
Pl_1	An_4	1
Pl_5	An_4	1
Pl_8	An_4	1
Pl_10	An_4	1
Pl_15	An_4	1
Pl_26	An_4	1
Pl_36	An_4	1
Pl_43	An_4	1
An_3	An_5	-0.559933588374406
An_4	An_5	-0.751479053869843
Pl_2	An_5	1
Pl_16	An_5	1
Pl_23	An_5	1
Pl_24	An_5	1
Pl_28	An_5	1
Pl_35	An_5	1
Pl_38	An_5	1
Pl_42	An_5	1
An_1	An_6	-0.799865030217916
An_5	An_6	-0.543922565178946
Pl_1	An_6	1
Pl_4	An_6	1
Pl_5	An_6	1
Pl_8	An_6	1
Pl_12	An_6	1
Pl_27	An_6	1
Pl_29	An_6	1
Pl_33	An_6	1
An_3	An_7	-0.527849413454533
An_4	An_7	-0.682038730476052
An_5	An_7	-0.562509910203516
Pl_1	An_7	1
Pl_10	An_7	1
Pl_15	An_7	1
Pl_16	An_7	1
Pl_26	An_7	1
Pl_27	An_7	1
Pl_30	An_7	1
Pl_41	An_7	1
An_1	An_8	-0.924155842512846
An_5	An_8	-0.954856926575303
An_6	An_8	-0.539354283362627
An_7	An_8	-0.653642093297094
Pl_3	An_8	1
Pl_8	An_8	1
Pl_11	An_8	1
Pl_13	An_8	1
Pl_19	An_8	1
Pl_20	An_8	1
Pl_24	An_8	1
Pl_36	An_8	1
An_6	An_9	-0.950218517100438
An_7	An_9	-0.574039342114702
Pl_4	An_9	1
Pl_16	An_9	1
Pl_18	An_9	1
Pl_25	An_9	1
Pl_34	An_9	1
Pl_37	An_9	1
Pl_41	An_9	1
Pl_44	An_9	1
An_3	An_10	-0.73941245325841
An_7	An_10	-0.941814214223996
An_8	An_10	-0.514586223289371
An_9	An_10	-0.891977511579171
Pl_7	An_10	1
Pl_18	An_10	1
Pl_22	An_10	1
Pl_27	An_10	1
Pl_28	An_10	1
Pl_31	An_10	1
Pl_32	An_10	1
Pl_44	An_10	1
An_1	An_11	-0.761860001366585
An_3	An_11	-0.76244112639688
An_7	An_11	-0.713240643031895
An_8	An_11	-0.862908125622198
Pl_1	An_11	1
Pl_4	An_11	1
Pl_27	An_11	1
Pl_29	An_11	1
Pl_34	An_11	1
Pl_40	An_11	1
Pl_42	An_11	1
Pl_47	An_11	1
An_1	An_12	-0.62973573920317
An_4	An_12	-0.663198375375941
An_5	An_12	-0.861354311462492
An_7	An_12	-0.86615762906149
An_9	An_12	-0.542693989118561
Pl_4	An_12	1
Pl_6	An_12	1
Pl_9	An_12	1
Pl_23	An_12	1
Pl_26	An_12	1
Pl_31	An_12	1
Pl_32	An_12	1
Pl_40	An_12	1
An_2	An_13	-0.882720560068265
An_3	An_13	-0.676511214114726
An_5	An_13	-0.591104537248611
An_6	An_13	-0.546718737343326
An_7	An_13	-0.782104105921462
An_9	An_13	-0.613713799742982
An_10	An_13	-0.75616609537974
Pl_2	An_13	1
Pl_4	An_13	1
Pl_5	An_13	1
Pl_7	An_13	1
Pl_18	An_13	1
Pl_25	An_13	1
Pl_30	An_13	1
Pl_35	An_13	1
An_2	An_14	-0.56978458724916
An_5	An_14	-0.625787686789408
An_7	An_14	-0.624837131472304
An_8	An_14	-0.829161039087921
An_11	An_14	-0.699549403972924
Pl_3	An_14	1
Pl_12	An_14	1
Pl_16	An_14	1
Pl_25	An_14	1
Pl_26	An_14	1
Pl_27	An_14	1
Pl_37	An_14	1
Pl_45	An_14	1
An_1	An_15	-0.559224681230262
An_2	An_15	-0.547436160035431
An_3	An_15	-0.985749190673232
An_5	An_15	-0.990135201485828
