#SpeciesA	SpeciesB	interaction
Pl_1	An_1	1
Pl_13	An_1	1
Pl_24	An_1	1
Pl_34	An_1	1
Pl_12	An_2	1
Pl_19	An_2	1
Pl_32	An_2	1
Pl_35	An_2	1
Pl_5	An_3	1
Pl_17	An_3	1
Pl_20	An_3	1
Pl_33	An_3	1
An_1	An_4	-0.867525476263836
Pl_1	An_4	1
Pl_21	An_4	1
Pl_30	An_4	1
Pl_45	An_4	1
Pl_3	An_5	1
Pl_6	An_5	1
Pl_18	An_5	1
Pl_31	An_5	1
Pl_1	An_6	1
Pl_9	An_6	1
Pl_17	An_6	1
Pl_28	An_6	1
An_6	An_7	-0.9982837412972
Pl_16	An_7	1
Pl_24	An_7	1
Pl_33	An_7	1
Pl_41	An_7	1
An_4	An_8	-0.949580673361197
Pl_20	An_8	1
Pl_41	An_8	1
Pl_44	An_8	1
An_3	An_9	-0.89723755302839
An_4	An_9	-0.890180247835815
Pl_2	An_9	1
Pl_13	An_9	1
Pl_18	An_9	1
An_2	An_10	-0.854753647698089
Pl_8	An_10	1
Pl_25	An_10	1
Pl_38	An_10	1
Pl_5	An_11	1
Pl_9	An_11	1
Pl_40	An_11	1
An_6	An_12	-0.850679122842848
An_8	An_12	-0.870551089756191
Pl_14	An_12	1
Pl_19	An_12	1
Pl_47	An_12	1
An_2	An_13	-0.895076122134924
Pl_29	An_13	1
Pl_37	An_13	1
Pl_38	An_13	1
An_2	An_14	-0.999226736603305
An_3	An_14	-0.852988848928362
An_5	An_14	-0.850035349139944
An_8	An_14	-0.871884757885709
Pl_4	An_14	1
Pl_15	An_14	1
Pl_30	An_14	1
An_6	An_15	-0.889864775817841
Pl_19	An_15	1
Pl_28	An_15	1
Pl_36	An_15	1
An_8	An_16	-0.853436143836007
An_14	An_16	-0.889493089402094
Pl_22	An_16	1
Pl_26	An_16	1
Pl_38	An_16	1
An_2	An_17	-0.991897969739512
An_4	An_17	-0.995425549102947
An_9	An_17	-0.891991044161841
An_11	An_17	-0.971722554415464
An_14	An_17	-0.88573063374497
An_15	An_17	-0.900910485070199
Pl_21	An_17	1
Pl_22	An_17	1
Pl_26	An_17	1
An_6	An_18	-0.924596027936786
An_7	An_18	-0.860067047644407
An_15	An_18	-0.99370079417713
Pl_30	An_18	1
Pl_40	An_18	1
Pl_44	An_18	1
An_4	An_19	-0.924313022987917
Pl_3	An_19	1
Pl_23	An_19	1
Pl_39	An_19	1
An_6	An_20	-0.89104424836114
An_11	An_20	-0.974526635371149
Pl_3	An_20	1
Pl_7	An_20	1
Pl_14	An_20	1
Pl_4	An_21	1
Pl_23	An_21	1
Pl_27	An_21	1
An_10	An_22	-0.979374571470544
An_13	An_22	-0.923901014728472
An_19	An_22	-0.863425872754306
Pl_4	An_22	1
Pl_5	An_22	1
Pl_42	An_22	1
An_4	An_23	-0.92031835927628
Pl_29	An_23	1
Pl_32	An_23	1
Pl_39	An_23	1
An_3	An_24	-0.947448634775355
An_12	An_24	-0.973942569922656
An_13	An_24	-0.98362500150688
Pl_11	An_24	1
Pl_16	An_24	1
Pl_27	An_24	1
An_2	An_25	-0.921695235883817
An_11	An_25	-0.974737844662741
An_14	An_25	-0.998068063985556
Pl_7	An_25	1
Pl_17	An_25	1
Pl_36	An_25	1
An_3	An_26	-0.966985380277038
An_23	An_26	-0.932423137594014
Pl_7	An_26	1
Pl_15	An_26	1
Pl_23	An_26	1
An_7	An_27	-0.965690735261887
An_26	An_27	-0.962950783781707
Pl_29	An_27	1
Pl_32	An_27	1
Pl_43	An_27	1
An_1	An_28	-0.852745137643069
An_3	An_28	-0.989807214587927
An_8	An_28	-0.948426366085187
Pl_2	An_28	1
Pl_12	An_28	1
Pl_35	An_28	1
An_5	An_29	-0.874157522106543
An_15	An_29	-0.943720664596185
An_23	An_29	-0.927495142212138
Pl_1	An_29	1
Pl_11	An_29	1
Pl_46	An_29	1
An_10	An_30	-0.891668131109327
An_14	An_30	-0.992092758882791
An_15	An_30	-0.909413485554978
An_26	An_30	-0.867758367676288
An_29	An_30	-0.878368008881807
Pl_10	An_30	1
Pl_25	An_30	1
Pl_31	An_30	1
An_4	An_31	-0.906739980215207
An_11	An_31	-0.990084579680115
An_23	An_31	-0.93899287818931
An_28	An_31	-0.875248137395829
An_29	An_31	-0.952359109185636
Pl_3	An_31	1
Pl_12	An_31	1
Pl_39	An_31	1
An_2	An_32	-0.946592851076275
An_10	An_32	-0.903150117956102
An_11	An_32	-0.92658700607717
An_13	An_32	-0.927815078990534
An_16	An_32	-0.893547219457105
An_29	An_32	-0.998911964008585
Pl_16	An_32	1
Pl_24	An_32	1
Pl_47	An_32	1
An_3	An_33	-0.98963199229911
An_10	An_33	-0.964604026870802
An_11	An_33	-0.881848702440038
An_21	An_33	-0.965259314514697
An_27	An_33	-0.952905664220452
Pl_6	An_33	1
Pl_27	An_33	1
Pl_36	An_33	1
An_1	An_34	-0.949054631637409
An_7	An_34	-0.865925796795636
An_8	An_34	-0.888389542931691
An_18	An_34	-0.918720407178625
An_20	An_34	-0.880311758490279
An_25	An_34	-0.893764108652249
Pl_2	An_34	1
Pl_21	An_34	1
Pl_25	An_34	1
An_3	An_35	-0.994083524914458
An_19	An_35	-0.906109982635826
An_20	An_35	-0.861991444369778
Pl_31	An_35	1
Pl_34	An_35	1
Pl_35	An_35	1
An_8	An_36	-0.904395564226434
An_11	An_36	-0.97205000766553
An_12	An_36	-0.990825520129874
An_13	An_36	-0.910252806032076
An_24	An_36	-0.921964014414698
An_25	An_36	-0.877174347639084
An_27	An_36	-0.895436097402126
An_31	An_36	-0.909228248521686
Pl_13	An_36	1
Pl_34	An_36	1
Pl_37	An_36	1
An_1	An_37	-0.939643315970898
An_2	An_37	-0.906526042846963
An_8	An_37	-0.998378043062985
An_13	An_37	-0.868173574097455
An_22	An_37	-0.994946055812761
An_24	An_37	-0.928727491991594
An_35	An_37	-0.993575423723087
An_36	An_37	-0.964913500240073
Pl_8	An_37	1
Pl_10	An_37	1
Pl_26	An_37	1
An_11	An_38	-0.93212894233875
An_12	An_38	-0.858297505881637
An_14	An_38	-0.959159266436473
